bps_name,bps_acres,ref_label,ref_percent,ref_scls_acres,cur_percent,cur_scls_acres,state_class_id,age_category,canopy_category,value,cur_scls_count,bps_count,join_field,model_code
Mediterranean California Mixed Evergreen Forest - Coastal,0,Water,0,0,NA,NA,NA,NA,NA,NA,NA,0,10432_2_3_Water,10432_2_3
Mediterranean California Mixed Evergreen Forest - Coastal,0,UN,0,0,NA,NA,NA,NA,NA,NA,NA,0,10432_2_3_UN,10432_2_3
Mediterranean California Mixed Evergreen Forest - Coastal,0,UE,0,0,NA,NA,NA,NA,NA,NA,NA,0,10432_2_3_UE,10432_2_3
East Cascades Oak-Ponderosa Pine Forest and Woodland,262499,A,10,26250,5,12407,Early1:ALL,Early1,ALL,147,55787,1180331,10600_1_2_7_A,10600_1_2_7
East Cascades Oak-Ponderosa Pine Forest and Woodland,262499,B,7,18375,26,68753,Mid1:CLS,Mid1,CLS,137,309151,1180331,10600_1_2_7_B,10600_1_2_7
East Cascades Oak-Ponderosa Pine Forest and Woodland,262499,C,8,21000,4,10532,Mid1:OPN,Mid1,OPN,146,47357,1180331,10600_1_2_7_C,10600_1_2_7
East Cascades Oak-Ponderosa Pine Forest and Woodland,262499,D,66,173249,0,407,Late1:OPN,Late1,OPN,148,1830,1180331,10600_1_2_7_D,10600_1_2_7
East Cascades Oak-Ponderosa Pine Forest and Woodland,262499,E,9,23625,12,32765,Late1:CLS,Late1,CLS,138,147330,1180331,10600_1_2_7_E,10600_1_2_7
East Cascades Oak-Ponderosa Pine Forest and Woodland,262499,Agriculture,0,0,29,75336,NA,NA,NA,143,338750,1180331,10600_1_2_7_Agriculture,10600_1_2_7
East Cascades Oak-Ponderosa Pine Forest and Woodland,262499,Urban,0,0,16,42581,NA,NA,NA,144,191467,1180331,10600_1_2_7_Urban,10600_1_2_7
East Cascades Oak-Ponderosa Pine Forest and Woodland,262499,Water,0,0,NA,NA,NA,NA,NA,NA,NA,1180331,10600_1_2_7_Water,10600_1_2_7
East Cascades Oak-Ponderosa Pine Forest and Woodland,262499,UN,0,0,2,4046,NA,NA,NA,136,18194,1180331,10600_1_2_7_UN,10600_1_2_7
East Cascades Oak-Ponderosa Pine Forest and Woodland,262499,UE,0,0,6,15611,NA,NA,NA,145,70195,1180331,10600_1_2_7_UE,10600_1_2_7
North Pacific Broadleaf Landslide Forest and Shrubland,6735,A,39,2627,6,410,Early1:ALL,Early1,ALL,71,1843,30283,10630_2_7_A,10630_2_7
North Pacific Broadleaf Landslide Forest and Shrubland,6735,B,61,4108,89,6005,Late1:ALL,Late1,ALL,70,27003,30283,10630_2_7_B,10630_2_7
North Pacific Broadleaf Landslide Forest and Shrubland,6735,C,NA,NA,NA,NA,NA,NA,NA,NA,NA,30283,10630_2_7_C,10630_2_7
North Pacific Broadleaf Landslide Forest and Shrubland,6735,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,30283,10630_2_7_D,10630_2_7
North Pacific Broadleaf Landslide Forest and Shrubland,6735,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,30283,10630_2_7_E,10630_2_7
North Pacific Broadleaf Landslide Forest and Shrubland,6735,Agriculture,0,0,0,5,NA,NA,NA,95,24,30283,10630_2_7_Agriculture,10630_2_7
North Pacific Broadleaf Landslide Forest and Shrubland,6735,Urban,0,0,2,131,NA,NA,NA,72,591,30283,10630_2_7_Urban,10630_2_7
North Pacific Broadleaf Landslide Forest and Shrubland,6735,Water,0,0,NA,NA,NA,NA,NA,NA,NA,30283,10630_2_7_Water,10630_2_7
North Pacific Broadleaf Landslide Forest and Shrubland,6735,UN,0,0,NA,NA,NA,NA,NA,NA,NA,30283,10630_2_7_UN,10630_2_7
North Pacific Broadleaf Landslide Forest and Shrubland,6735,UE,0,0,3,183,NA,NA,NA,74,821,30283,10630_2_7_UE,10630_2_7
Willamette Valley Upland Prairie and Savanna,895844,A,9,80626,2,21986,Early1:ALL,Early1,ALL,119,98862,4028177,11200_1_2_7_A,11200_1_2_7
Willamette Valley Upland Prairie and Savanna,895844,B,2,17917,5,46294,Mid1:CLS,Mid1,CLS,117,208162,4028177,11200_1_2_7_B,11200_1_2_7
Willamette Valley Upland Prairie and Savanna,895844,C,20,179169,0,1028,Mid1:OPN,Mid1,OPN,123,4624,4028177,11200_1_2_7_C,11200_1_2_7
Willamette Valley Upland Prairie and Savanna,895844,D,68,609174,0,2483,Late1:OPN,Late1,OPN,118,11165,4028177,11200_1_2_7_D,11200_1_2_7
Willamette Valley Upland Prairie and Savanna,895844,E,1,8958,2,13909,Late1:CLS,Late1,CLS,120,62542,4028177,11200_1_2_7_E,11200_1_2_7
Willamette Valley Upland Prairie and Savanna,895844,Agriculture,0,0,67,599546,NA,NA,NA,122,2695867,4028177,11200_1_2_7_Agriculture,11200_1_2_7
Willamette Valley Upland Prairie and Savanna,895844,Urban,0,0,21,184024,NA,NA,NA,116,827465,4028177,11200_1_2_7_Urban,11200_1_2_7
Willamette Valley Upland Prairie and Savanna,895844,Water,0,0,NA,NA,NA,NA,NA,NA,NA,4028177,11200_1_2_7_Water,11200_1_2_7
Willamette Valley Upland Prairie and Savanna,895844,UN,0,0,NA,NA,NA,NA,NA,NA,NA,4028177,11200_1_2_7_UN,11200_1_2_7
Willamette Valley Upland Prairie and Savanna,895844,UE,0,0,3,26328,NA,NA,NA,121,118386,4028177,11200_1_2_7_UE,11200_1_2_7
Northern California Coastal Scrub,955,A,5,48,5,45,Early1:ALL,Early1,ALL,49,204,4295,11280_2_3_4_A,11280_2_3_4
Northern California Coastal Scrub,955,B,15,143,7,62,Mid1:CLS,Mid1,CLS,48,281,4295,11280_2_3_4_B,11280_2_3_4
Northern California Coastal Scrub,955,C,80,764,30,285,Late1:CLS,Late1,CLS,47,1281,4295,11280_2_3_4_C,11280_2_3_4
Northern California Coastal Scrub,955,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,4295,11280_2_3_4_D,11280_2_3_4
Northern California Coastal Scrub,955,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,4295,11280_2_3_4_E,11280_2_3_4
Northern California Coastal Scrub,955,Agriculture,0,0,1,9,NA,NA,NA,61,40,4295,11280_2_3_4_Agriculture,11280_2_3_4
Northern California Coastal Scrub,955,Urban,0,0,41,394,NA,NA,NA,15,1773,4295,11280_2_3_4_Urban,11280_2_3_4
Northern California Coastal Scrub,955,Water,0,0,NA,NA,NA,NA,NA,NA,NA,4295,11280_2_3_4_Water,11280_2_3_4
Northern California Coastal Scrub,955,UN,0,0,NA,NA,NA,NA,NA,NA,NA,4295,11280_2_3_4_UN,11280_2_3_4
Northern California Coastal Scrub,955,UE,0,0,16,150,NA,NA,NA,23,673,4295,11280_2_3_4_UE,11280_2_3_4
California Northern Coastal Grassland,26293,A,51,13410,11,2968,Early1:ALL,Early1,ALL,26,13344,118229,11310_2_3_4_A,11310_2_3_4
California Northern Coastal Grassland,26293,B,41,10780,16,4140,Mid1:CLS,Mid1,CLS,25,18617,118229,11310_2_3_4_B,11310_2_3_4
California Northern Coastal Grassland,26293,C,8,2103,25,6538,Late1:OPN,Late1,OPN,8,29397,118229,11310_2_3_4_C,11310_2_3_4
California Northern Coastal Grassland,26293,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,118229,11310_2_3_4_D,11310_2_3_4
California Northern Coastal Grassland,26293,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,118229,11310_2_3_4_E,11310_2_3_4
California Northern Coastal Grassland,26293,Agriculture,0,0,1,365,NA,NA,NA,60,1639,118229,11310_2_3_4_Agriculture,11310_2_3_4
California Northern Coastal Grassland,26293,Urban,0,0,17,4405,NA,NA,NA,14,19805,118229,11310_2_3_4_Urban,11310_2_3_4
California Northern Coastal Grassland,26293,Water,0,0,NA,NA,NA,NA,NA,NA,NA,118229,11310_2_3_4_Water,11310_2_3_4
California Northern Coastal Grassland,26293,UN,0,0,21,5498,NA,NA,NA,32,24722,118229,11310_2_3_4_UN,11310_2_3_4
California Northern Coastal Grassland,26293,UE,0,0,9,2272,NA,NA,NA,4,10216,118229,11310_2_3_4_UE,11310_2_3_4
California Montane Riparian Systems,38403,A,16,6145,4,1359,Early1:ALL,Early1,ALL,197,6113,172681,11520_2_3_7_A,11520_2_3_7
California Montane Riparian Systems,38403,B,42,16129,1,535,Mid1:ALL,Mid1,ALL,200,2405,172681,11520_2_3_7_B,11520_2_3_7
California Montane Riparian Systems,38403,C,42,16129,90,34412,Late1:CLS,Late1,CLS,196,154735,172681,11520_2_3_7_C,11520_2_3_7
California Montane Riparian Systems,38403,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,172681,11520_2_3_7_D,11520_2_3_7
California Montane Riparian Systems,38403,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,172681,11520_2_3_7_E,11520_2_3_7
California Montane Riparian Systems,38403,Agriculture,0,0,1,220,NA,NA,NA,201,991,172681,11520_2_3_7_Agriculture,11520_2_3_7
California Montane Riparian Systems,38403,Urban,0,0,4,1465,NA,NA,NA,198,6589,172681,11520_2_3_7_Urban,11520_2_3_7
California Montane Riparian Systems,38403,Water,0,0,NA,NA,NA,NA,NA,NA,NA,172681,11520_2_3_7_Water,11520_2_3_7
California Montane Riparian Systems,38403,UN,0,0,NA,NA,NA,NA,NA,NA,NA,172681,11520_2_3_7_UN,11520_2_3_7
California Montane Riparian Systems,38403,UE,0,0,1,408,NA,NA,NA,199,1835,172681,11520_2_3_7_UE,11520_2_3_7
North Pacific Lowland Riparian Forest and Shrubland,609583,A,16,97533,12,74453,Early1:ALL,Early1,ALL,11,334780,2740997,11560_1_2_7_A,11560_1_2_7
North Pacific Lowland Riparian Forest and Shrubland,609583,B,18,109725,0,2935,Mid1:CLS,Mid1,CLS,64,13198,2740997,11560_1_2_7_B,11560_1_2_7
North Pacific Lowland Riparian Forest and Shrubland,609583,C,19,115821,49,301530,Late1:CLS,Late1,CLS,10,1355835,2740997,11560_1_2_7_C,11560_1_2_7
North Pacific Lowland Riparian Forest and Shrubland,609583,D,47,286504,NA,NA,Late1:OPN,Late1,OPN,NA,NA,2740997,11560_1_2_7_D,11560_1_2_7
North Pacific Lowland Riparian Forest and Shrubland,609583,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,2740997,11560_1_2_7_E,11560_1_2_7
North Pacific Lowland Riparian Forest and Shrubland,609583,Agriculture,0,0,28,168623,NA,NA,NA,39,758214,2740997,11560_1_2_7_Agriculture,11560_1_2_7
North Pacific Lowland Riparian Forest and Shrubland,609583,Urban,0,0,8,49024,NA,NA,NA,13,220435,2740997,11560_1_2_7_Urban,11560_1_2_7
North Pacific Lowland Riparian Forest and Shrubland,609583,Water,0,0,NA,NA,NA,NA,NA,NA,NA,2740997,11560_1_2_7_Water,11560_1_2_7
North Pacific Lowland Riparian Forest and Shrubland,609583,UN,0,0,NA,NA,NA,NA,NA,NA,NA,2740997,11560_1_2_7_UN,11560_1_2_7
North Pacific Lowland Riparian Forest and Shrubland,609583,UE,0,0,2,12938,NA,NA,NA,24,58178,2740997,11560_1_2_7_UE,11560_1_2_7
North Pacific Swamp Systems,60132,A,13,7817,24,14332,Early1:ALL,Early1,ALL,40,64445,270386,11570_1_2_A,11570_1_2
North Pacific Swamp Systems,60132,B,69,41491,28,16763,Late1:CLS,Late1,CLS,28,75373,270386,11570_1_2_B,11570_1_2
North Pacific Swamp Systems,60132,C,18,10824,29,17346,Late2:OPN,Late2,OPN,29,77998,270386,11570_1_2_C,11570_1_2
North Pacific Swamp Systems,60132,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,270386,11570_1_2_D,11570_1_2
North Pacific Swamp Systems,60132,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,270386,11570_1_2_E,11570_1_2
North Pacific Swamp Systems,60132,Agriculture,0,0,6,3396,NA,NA,NA,155,15269,270386,11570_1_2_Agriculture,11570_1_2
North Pacific Swamp Systems,60132,Urban,0,0,8,4862,NA,NA,NA,27,21861,270386,11570_1_2_Urban,11570_1_2
North Pacific Swamp Systems,60132,Water,0,0,NA,NA,NA,NA,NA,NA,NA,270386,11570_1_2_Water,11570_1_2
North Pacific Swamp Systems,60132,UN,0,0,NA,NA,NA,NA,NA,NA,NA,270386,11570_1_2_UN,11570_1_2
North Pacific Swamp Systems,60132,UE,0,0,6,3311,NA,NA,NA,30,14890,270386,11570_1_2_UE,11570_1_2
North Pacific Montane Riparian Woodland and Shrubland - Wet,0,A,12,0,NA,NA,Early1:ALL,Early1,ALL,NA,NA,0,11581_1_2_7_A,11581_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Wet,0,B,73,0,NA,NA,Mid1:OPN,Mid1,OPN,NA,NA,0,11581_1_2_7_B,11581_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Wet,0,C,15,0,NA,NA,Late1:CLS,Late1,CLS,NA,NA,0,11581_1_2_7_C,11581_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Wet,0,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11581_1_2_7_D,11581_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Wet,0,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11581_1_2_7_E,11581_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Wet,0,Agriculture,0,0,NA,NA,NA,NA,NA,NA,NA,0,11581_1_2_7_Agriculture,11581_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Wet,0,Urban,0,0,NA,NA,NA,NA,NA,NA,NA,0,11581_1_2_7_Urban,11581_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Wet,0,Water,0,0,NA,NA,NA,NA,NA,NA,NA,0,11581_1_2_7_Water,11581_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Wet,0,UN,0,0,NA,NA,NA,NA,NA,NA,NA,0,11581_1_2_7_UN,11581_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Wet,0,UE,0,0,NA,NA,NA,NA,NA,NA,NA,0,11581_1_2_7_UE,11581_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Dry,0,A,12,0,NA,NA,Early1:ALL,Early1,ALL,NA,NA,0,11582_1_2_7_A,11582_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Dry,0,B,74,0,NA,NA,Mid1:OPN,Mid1,OPN,NA,NA,0,11582_1_2_7_B,11582_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Dry,0,C,14,0,NA,NA,Late1:CLS,Late1,CLS,NA,NA,0,11582_1_2_7_C,11582_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Dry,0,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11582_1_2_7_D,11582_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Dry,0,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,11582_1_2_7_E,11582_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Dry,0,Agriculture,0,0,NA,NA,NA,NA,NA,NA,NA,0,11582_1_2_7_Agriculture,11582_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Dry,0,Urban,0,0,NA,NA,NA,NA,NA,NA,NA,0,11582_1_2_7_Urban,11582_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Dry,0,Water,0,0,NA,NA,NA,NA,NA,NA,NA,0,11582_1_2_7_Water,11582_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Dry,0,UN,0,0,NA,NA,NA,NA,NA,NA,NA,0,11582_1_2_7_UN,11582_1_2_7
North Pacific Montane Riparian Woodland and Shrubland - Dry,0,UE,0,0,NA,NA,NA,NA,NA,NA,NA,0,11582_1_2_7_UE,11582_1_2_7
Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,17382,A,14,2433,30,5258,Early1:ALL,Early1,ALL,211,23644,78157,11700_2_3_7_A,11700_2_3_7
Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,17382,B,31,5388,1,185,Mid1:OPN,Mid1,OPN,215,833,78157,11700_2_3_7_B,11700_2_3_7
Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,17382,C,55,9560,7,1211,Late1:OPN,Late1,OPN,214,5447,78157,11700_2_3_7_C,11700_2_3_7
Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,17382,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,78157,11700_2_3_7_D,11700_2_3_7
Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,17382,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,78157,11700_2_3_7_E,11700_2_3_7
Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,17382,Agriculture,0,0,3,495,NA,NA,NA,225,2228,78157,11700_2_3_7_Agriculture,11700_2_3_7
Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,17382,Urban,0,0,11,1993,NA,NA,NA,209,8961,78157,11700_2_3_7_Urban,11700_2_3_7
Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,17382,Water,0,0,NA,NA,NA,NA,NA,NA,NA,78157,11700_2_3_7_Water,11700_2_3_7
Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,17382,UN,0,0,37,6466,NA,NA,NA,208,29076,78157,11700_2_3_7_UN,11700_2_3_7
Klamath-Siskiyou Xeromorphic Serpentine Savanna and Chaparral,17382,UE,0,0,10,1713,NA,NA,NA,210,7702,78157,11700_2_3_7_UE,11700_2_3_7
North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,34829,A,5,1741,7,2439,Early1:ALL,Early1,ALL,73,10967,156609,11780_1_2_7_A,11780_1_2_7
North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,34829,B,48,16718,87,30150,Mid1:CLS,Mid1,CLS,67,135569,156609,11780_1_2_7_B,11780_1_2_7
North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,34829,C,47,16370,NA,NA,Late1:CLS,Late1,CLS,NA,NA,156609,11780_1_2_7_C,11780_1_2_7
North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,34829,D,NA,NA,NA,NA,NA,NA,NA,NA,NA,156609,11780_1_2_7_D,11780_1_2_7
North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,34829,E,NA,NA,NA,NA,NA,NA,NA,NA,NA,156609,11780_1_2_7_E,11780_1_2_7
North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,34829,Agriculture,0,0,0,98,NA,NA,NA,88,442,156609,11780_1_2_7_Agriculture,11780_1_2_7
North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,34829,Urban,0,0,5,1658,NA,NA,NA,75,7456,156609,11780_1_2_7_Urban,11780_1_2_7
North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,34829,Water,0,0,NA,NA,NA,NA,NA,NA,NA,156609,11780_1_2_7_Water,11780_1_2_7
North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,34829,UN,0,0,NA,NA,NA,NA,NA,NA,NA,156609,11780_1_2_7_UN,11780_1_2_7
North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,34829,UE,0,0,1,483,NA,NA,NA,79,2173,156609,11780_1_2_7_UE,11780_1_2_7
NoData,7950,NA,NA,NA,100,7950,NA,NA,NA,1,35747,35747,NA_NoData,NA
Open Water,1017514,NA,NA,NA,100,1017514,NA,NA,NA,2,4575265,4575265,NA_Water,NA
Barren-Rock/Sand/Clay,40388,NA,NA,NA,100,40388,NA,NA,NA,3,181603,181603,NA_Barren or Sparse,NA
North Pacific Hypermaritime Sitka Spruce Forest,898645,NA,NA,NA,0,2271,NA,NA,NA,6,10213,4040772,10360_1_2_Barren or Sparse,NA
California Northern Coastal Grassland,26293,NA,NA,NA,0,109,NA,NA,NA,7,489,118229,11310_2_3_4_Barren or Sparse,NA
North Pacific Montane Riparian Woodland and Shrubland-Wet,34754,NA,NA,NA,11,3708,NA,NA,NA,9,16672,156274,11581_1_2_7_B,NA
North Pacific Montane Riparian Woodland and Shrubland-Wet,34754,NA,NA,NA,5,1729,NA,NA,NA,31,7774,156274,11581_1_2_7_Urban,NA
North Pacific Montane Riparian Woodland and Shrubland-Wet,34754,NA,NA,NA,0,24,NA,NA,NA,33,110,156274,11581_1_2_7_Barren or Sparse,NA
Mediterranean California Sparsely Vegetated Systems,719,NA,NA,NA,99,711,NA,NA,NA,35,3198,3232,10020_Barren or Sparse,NA
North Pacific Lowland Riparian Forest and Shrubland,609583,NA,NA,NA,0,79,NA,NA,NA,44,357,2740997,11560_1_2_7_Barren or Sparse,NA
North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,2404123,NA,NA,NA,0,448,NA,NA,NA,45,2013,10810174,10390_1_2_3_7_Barren or Sparse,NA
North Pacific Swamp Systems,60132,NA,NA,NA,0,122,NA,NA,NA,46,550,270386,11570_1_2_Barren or Sparse,NA
Northern California Coastal Scrub,955,NA,NA,NA,1,10,NA,NA,NA,59,43,4295,11280_2_3_4_Barren or Sparse,NA
North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,517985,NA,NA,NA,0,158,NA,NA,NA,62,712,2329128,10350_1_2_7_Barren or Sparse,NA
Mediterranean California Mixed Evergreen Forest-Coastal,464193,NA,NA,NA,52,242095,NA,NA,NA,66,1088582,2087249,10432_2_3_B,NA
North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,1770956,NA,NA,NA,0,523,NA,NA,NA,76,2352,7963128,10370_1_2_7_Barren or Sparse,NA
Mediterranean California Mixed Evergreen Forest-Coastal,464193,NA,NA,NA,26,118766,NA,NA,NA,77,534032,2087249,10432_2_3_E,NA
Mediterranean California Mixed Evergreen Forest-Coastal,464193,NA,NA,NA,4,19697,NA,NA,NA,78,88568,2087249,10432_2_3_C,NA
Mediterranean California Mixed Evergreen Forest-Coastal,464193,NA,NA,NA,1,6898,NA,NA,NA,80,31018,2087249,10432_2_3_Agriculture,NA
Mediterranean California Mixed Evergreen Forest-Coastal,464193,NA,NA,NA,6,26657,NA,NA,NA,81,119864,2087249,10432_2_3_Urban,NA
Mediterranean California Mixed Evergreen Forest-Coastal,464193,NA,NA,NA,3,15528,NA,NA,NA,82,69822,2087249,10432_2_3_UE,NA
North Pacific Montane Riparian Woodland and Shrubland-Wet,34754,NA,NA,NA,80,27815,NA,NA,NA,83,125071,156274,11581_1_2_7_C,NA
Mediterranean California Mixed Evergreen Forest-Coastal,464193,NA,NA,NA,7,33059,NA,NA,NA,84,148651,2087249,10432_2_3_A,NA
North Pacific Montane Riparian Woodland and Shrubland-Wet,34754,NA,NA,NA,4,1358,NA,NA,NA,85,6107,156274,11581_1_2_7_A,NA
North Pacific Montane Riparian Woodland and Shrubland-Wet,34754,NA,NA,NA,0,117,NA,NA,NA,86,526,156274,11581_1_2_7_UE,NA
Mediterranean California Mixed Evergreen Forest-Coastal,464193,NA,NA,NA,0,512,NA,NA,NA,89,2303,2087249,10432_2_3_D,NA
North Pacific Hypermaritime Western Red-cedar-Western Hemlock Forest,34829,NA,NA,NA,0,0,NA,NA,NA,91,2,156609,11780_1_2_7_Barren or Sparse,NA
North Pacific Oak Woodland,766063,NA,NA,NA,0,520,NA,NA,NA,103,2336,3444613,10080_1_2_3_7_Barren or Sparse,NA
Mediterranean California Sparsely Vegetated Systems,719,NA,NA,NA,0,2,NA,NA,NA,110,10,3232,10020_Agriculture,NA
North Pacific Montane Riparian Woodland and Shrubland-Dry,9765,NA,NA,NA,64,6286,NA,NA,NA,112,28263,43907,11582_1_2_7_C,NA
North Pacific Montane Riparian Woodland and Shrubland-Dry,9765,NA,NA,NA,5,491,NA,NA,NA,114,2210,43907,11582_1_2_7_A,NA
North Pacific Montane Riparian Woodland and Shrubland-Dry,9765,NA,NA,NA,14,1353,NA,NA,NA,115,6086,43907,11582_1_2_7_B,NA
Willamette Valley Upland Prairie and Savanna,895844,NA,NA,NA,0,246,NA,NA,NA,124,1104,4028177,11200_1_2_7_Barren or Sparse,NA
Mediterranean California Mixed Evergreen Forest-Interior,954626,NA,NA,NA,1,10100,NA,NA,NA,125,45413,4292487,10431_2_3_6_7_UE,NA
Mediterranean California Mixed Evergreen Forest-Interior,954626,NA,NA,NA,1,6149,NA,NA,NA,126,27650,4292487,10431_2_3_6_7_Agriculture,NA
Mediterranean California Mixed Evergreen Forest-Interior,954626,NA,NA,NA,3,29693,NA,NA,NA,127,133513,4292487,10431_2_3_6_7_Urban,NA
Mediterranean California Mixed Evergreen Forest-Interior,954626,NA,NA,NA,49,467938,NA,NA,NA,128,2104089,4292487,10431_2_3_6_7_B,NA
Mediterranean California Mixed Evergreen Forest-Interior,954626,NA,NA,NA,35,338359,NA,NA,NA,129,1521436,4292487,10431_2_3_6_7_E,NA
Mediterranean California Mixed Evergreen Forest-Interior,954626,NA,NA,NA,6,57658,NA,NA,NA,131,259258,4292487,10431_2_3_6_7_C,NA
Mediterranean California Sparsely Vegetated Systems,719,NA,NA,NA,1,5,NA,NA,NA,132,24,3232,10020_Urban,NA
North Pacific Broadleaf Landslide Forest and Shrubland,6735,NA,NA,NA,0,0,NA,NA,NA,133,1,30283,10630_2_7_Barren or Sparse,NA
North Pacific Montane Riparian Woodland and Shrubland-Dry,9765,NA,NA,NA,7,651,NA,NA,NA,134,2928,43907,11582_1_2_7_Urban,NA
North Pacific Montane Riparian Woodland and Shrubland-Wet,34754,NA,NA,NA,0,3,NA,NA,NA,135,14,156274,11581_1_2_7_Agriculture,NA
Mediterranean California Mesic Mixed Conifer Forest and Woodland,194383,NA,NA,NA,0,100,NA,NA,NA,141,450,874047,10280_2_3_Barren or Sparse,NA
Mediterranean California Mixed Evergreen Forest-Interior,954626,NA,NA,NA,5,43427,NA,NA,NA,149,195268,4292487,10431_2_3_6_7_A,NA
North Pacific Montane Riparian Woodland and Shrubland-Dry,9765,NA,NA,NA,3,267,NA,NA,NA,150,1202,43907,11582_1_2_7_UE,NA
North Pacific Montane Riparian Woodland and Shrubland-Dry,9765,NA,NA,NA,7,713,NA,NA,NA,152,3207,43907,11582_1_2_7_Agriculture,NA
East Cascades Oak-Ponderosa Pine Forest and Woodland,262499,NA,NA,NA,0,60,NA,NA,NA,153,270,1180331,10600_1_2_7_Barren or Sparse,NA
Mediterranean California Mixed Evergreen Forest-Interior,954626,NA,NA,NA,0,837,NA,NA,NA,154,3762,4292487,10431_2_3_6_7_D,NA
Mediterranean California Mixed Evergreen Forest-Coastal,464193,NA,NA,NA,0,981,NA,NA,NA,157,4409,2087249,10432_2_3_Barren or Sparse,NA
California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,21318,NA,NA,NA,0,89,NA,NA,NA,168,398,95857,10310_2_3_4_5_6_12_Barren or Sparse,NA
Mediterranean California Lower Montane Black Oak-Conifer Forest and Woodland,247759,NA,NA,NA,0,313,NA,NA,NA,170,1406,1114051,10300_2_3_4_5_6_7_Barren or Sparse,NA
Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,690701,NA,NA,NA,0,315,NA,NA,NA,182,1416,3105749,10270_2_3_7_Barren or Sparse,NA
Perennial Ice/Snow,33,NA,NA,NA,100,33,NA,NA,NA,191,150,150,NA_Snow/Ice,NA
Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,211571,NA,NA,NA,0,419,NA,NA,NA,203,1884,951332,10210_2_3_6_7_Barren or Sparse,NA
Mediterranean California Mixed Evergreen Forest-Interior,954626,NA,NA,NA,0,467,NA,NA,NA,205,2098,4292487,10431_2_3_6_7_Barren or Sparse,NA
Mediterranean California Mixed Oak Woodland,15688,NA,NA,NA,0,52,NA,NA,NA,206,232,70540,10290_2_3_4_5_6_7_12_Barren or Sparse,NA
